Product/Service Name,Quantity on hand,Item type,Category,SKU,Purchase cost includes tax,Sales price/rate includes tax,Price,Cost,Income Account,Expense Account,Stock asset account,Sales Description,Purchase Description,Reorder Point
HILTI-TE300/AVR-CHISEL,0,Non-Stock,,,No,No,1442.95,1442.95,Purchases,Purchases,,HILTI TE300 AVR Jack hammer chisel,HILTI TE300 AVR Jack hammer chisel,0
HILTI-TE300/AVR-MOIL,0,Non-Stock,,,No,No,1365.01,1365.01,Purchases,Purchases,,HILTI TE300 AVR Jack hammer moil,HILTI TE300 AVR Jack hammer moil,0
IRONM-BHINGE-001,0,Non-Stock,,,No,No,255,255,Purchases,Purchases,,"JH-BB-STD-2-SS Butt Hinges
100 x 75 (Pair)","JH-BB-STD-2-SS Butt Hinges
100 x 75 (Pair)",0
IRONM-CYL/EP-001,0,Non-Stock,,,No,No,,110,Services,Purchases,,2X18SC Euro profile Dbl cylinder,2X18SC Euro profile Dbl cylinder,0
IRONM-CYL/OP-002,0,Non-Stock,,,No,No,,490.95,Services,Purchases,,2X6-SC Oval profile Dbl cylinder,2X6-SC Oval profile Dbl cylinder,0
IRONM-DCLOSER-001,0,Non-Stock,,,No,No,655,655,Purchases,Purchases,,QS680 Door Closer,QS680 Door Closer,0
IRONM-D/H-001,0,Non-Stock,,,No,No,1107,1107,Purchases,Purchases,,CB612-13SC Protea handle with Oval profile cylinder cut out (pair),CB612-13SC Protea handle with Oval profile cylinder cut out (pair),0
IRONM-DS-001,0,Non-Stock,,,No,No,58.21,58.21,Purchases,Purchases,,CZ8731CS Door Stop,CZ8731CS Door Stop,0
IRONM-D/STOP-001,0,Non-Stock,,,No,No,,58.21,Services,Purchases,,CZ8731CS Union door stop,CZ8731CS Union door stop,0
IRONM-FRANKE-001,0,Non-Stock,,,No,No,6850,6850,Purchases,Purchases,,FRANKE 2500002 Airtronic Electronic Jetstream Hand Dryer,FRANKE 2500002 Airtronic Electronic Jetstream Hand Dryer,0
IRONM-FRANKE-002,0,Non-Stock,,,No,No,3166,3166,Purchases,Purchases,,FRANKE 2520029 Oval-A Wall mounted wash hand basin,FRANKE 2520029 Oval-A Wall mounted wash hand basin,0
IRONM-GRAB/R-001,0,Non-Stock,,,No,No,553.5,553.5,Purchases,Purchases,,Dogleg Stainless Steel Grab Rail,Dogleg Stainless Steel Grab Rail,0
IRONM-GRAB/R-002,0,Non-Stock,,,No,No,553.5,553.5,Purchases,Purchases,,Cistern Stainless Steel Grabrail,Cistern Stainless Steel Grabrail,0
IRONM-INDBOLT-001,0,Non-Stock,,,No,No,168.35,168.35,Purchases,Purchases,,CZ80941 SCR Union Indicator Bolt,CZ80941 SCR Union Indicator Bolt,0
IRONM-KPLATE-001,0,Non-Stock,,,No,No,99.1,99.1,Purchases,Purchases,,813 x 150 x 1.2mm Brushed Stainless Steel Kickplate Gr.304,813 x 150 x 1.2mm Brushed Stainless Steel Kickplate Gr.304,0
IRONM-KPLATE-002,0,Non-Stock,,,No,No,77.1,77.1,Purchases,Purchases,,900 x 150 x 1.2mm Brushed Stainless Steel Kickplate Gr.304,900 x 150 x 1.2mm Brushed Stainless Steel Kickplate Gr.304,0
IRONM-L/H-001,0,Non-Stock,,,No,No,,633.47,Services,Purchases,,AL6D66-05 Lever handle on 152 x 152 Aluminium backing plate c/w Euro profile cylinder cut out (pair),AL6D66-05 Lever handle on 152 x 152 Aluminium backing plate c/w Euro profile cylinder cut out (pair),0
IRONM-L/H-002,0,Non-Stock,,,No,No,756.25,756.25,Purchases,Purchases,,AL6D66-13 Lever Handle on 152 x 152 plate c/w Oval Cylinder piercing (PAIR),AL6D66-13 Lever Handle on 152 x 152 plate c/w Oval Cylinder piercing (PAIR),0
IRONM-L/H-003,0,Non-Stock,,,No,No,1050,1050,Purchases,Purchases,,CB612-13SC Protea Handle with Oval cylinder cut out  (Pair),CB612-13SC Protea Handle with Oval cylinder cut out  (Pair),0
IRONM-LOCK-001,0,Non-Stock,,,No,No,,215.11,Services,Purchases,,L21315-76 Euro profile deadlock,L21315-76 Euro profile deadlock,0
IRONM-LOCK-002,0,Non-Stock,,,No,No,,219.92,Services,Purchases,,223155-76 Euro profile latch lock,223155-76 Euro profile latch lock,0
IRONM-LOCK-003,0,Non-Stock,,,No,No,,,Purchases,Purchases,,2241-78SS Oval profile latch lock,2241-78SS Oval profile latch lock,0
IRONM-LOCK-004,0,Non-Stock,,,No,No,596.51,596.51,Purchases,Purchases,,2141-78SS Oval Profile Deadlock,2141-78SS Oval Profile Deadlock,0
IRONM-MFSCR-001,0,Non-Stock,,,No,No,7.28,7.28,Purchases,Purchases,,RH7024 M+F Screws,RH7024 M+F Screws,0
IRONM-P/H-001,0,Non-Stock,,,No,No,,405.3,Services,Purchases,,AL5D66-05 Pull handle on 152x152 Aluminium backing plate c/w Euro profile cylinder cut out (pair),AL5D66-05 Pull handle on 152x152 Aluminium backing plate c/w Euro profile cylinder cut out (pair),0
IRONM-P/H-002,0,Non-Stock,,,No,No,339.38,339.38,Purchases,Purchases,,AL5D66-13 Pull Handle on 152 x 152  Plate c/w Oval Profile Cylinder Cut Out (PAIR),AL5D66-13 Pull Handle on 152 x 152  Plate c/w Oval Profile Cylinder Cut Out (PAIR),0
IRONM-P/H-003,0,Non-Stock,,,No,No,215.18,215.18,Purchases,Purchases,,AL5D66-06 Pull Handle on BLANK 152 x 152 Aluminium Backing Plate (PAIR),AL5D66-06 Pull Handle on BLANK 152 x 152 Aluminium Backing Plate (PAIR),0
IRONM-P/H-004,0,Non-Stock,,,No,No,402.22,402.22,Purchases,Purchases,,AL5515-300 FL AS Dove Pull Handle,AL5515-300 FL AS Dove Pull Handle,0
IRONM-P/PLATE-001,0,Non-Stock,,,No,No,71.4,71.4,Purchases,Purchases,,AL5066-06AS UNION NAA pushplate 152 x 152 x 3mm BLANK,AL5066-06AS UNION NAA pushplate 152 x 152 x 3mm BLANK,0
IRONM-PPL/LOCK-001,0,Non-Stock,,,No,No,650,650,Purchases,Purchases,,37651 Helping Hand Paraplegic Lockset Complete,37651 Helping Hand Paraplegic Lockset Complete,0
IRONM-SOAP-002,0,Non-Stock,,,No,No,271.43,271.43,Purchases,Purchases,,1L White Vertical Soap Dispenser,1L White Vertical Soap Dispenser,0
IRONM-SOAP/D-001,0,Non-Stock,,,No,No,500,500,Purchases,Purchases,,1L United Vertical Stainless Steel Soap Dispenser,1L United Vertical Stainless Steel Soap Dispenser,0
IRONM-T/BAR-001,0,Non-Stock,,,No,No,1450,1450,Services,Purchases,,QS300/1 : Touch Bar Exit Device,QS300/1 : Touch Bar Exit Device,0
IRONM-T/BAR-002,0,Non-Stock,,,No,No,805,805,Purchases,Purchases,,QS330 : Outside Access Device,QS330 : Outside Access Device,0
IRONM-T/ROLL-002,0,Non-Stock,,,No,No,343.85,343.85,Purchases,Purchases,,TR2 (White) Toilet Roll Holder,TR2 (White) Toilet Roll Holder,0
IRONM-T/ROLL-002.1,0,Non-Stock,,,No,No,,0,Purchases,Purchases,,TS2 (S/S) Toilet Roll Holder,TS2 (S/S) Toilet Roll Holder,0
IRONM-V/GRILLE-001,0,Non-Stock,,,No,No,225,225,Purchases,Purchases,,"TRA-200 Ventilation Grille
210 X 210","TRA-200 Ventilation Grille
210 X 210",0
IRONM-V/GRILLE-002,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Ventilation Grille
350 x 400","Ventilation Grille
Ventilation Grille
350 x 400",0
JC-Foreman Rate,0,Service,,,No,No,0,0,Services,,,Foreman Labour Rate,,0
JC-Plumber,0,Service,,,No,No,0,0,Services,,,Plamber Labour Rate,,0
JC-Skilled,0,Service,,,No,No,0,0,Services,,,Skilled Labour Rate,,0
JC-Toll Fees,0,Service,,,No,No,0,0,Services,,,Toll Fees,,0
JC-Travelling,0,Service,,,No,No,11.67,0,Services,,,Travelling,,0
JC-Unskilled,0,Service,,,No,No,0,0,Services,,,Unskilled Labour Rate,,0
JOLUKA-80%-BLUE,0,Non-Stock,,,No,No,1798,1798,Purchases,Purchases,,"Shade netting 80% -Blue
50m x 1.8m","Shade netting 80% -Blue
50m x 1.8m",0
JOLUKA-80%-FORR/GREEN,0,Non-Stock,,,No,No,1798,1798,Purchases,Purchases,,"Shade netting 80% 
Forrest Green
50m x 1.8m","Shade netting 80% 
Forrest Green
50m x 1.8m",0
KB-B/HAT-KHAKI,0,Non-Stock,,H016,No,No,190,190,Purchases,Purchases,,"Bush Hat with Flap & Toggle
Khaki","Bush Hat with Flap & Toggle
Khaki",0
LIQ/RUBBER-GREEN,0,Non-Stock,,,No,No,1050,1050,Purchases,Purchases,,Liquid Rubber Green p/20L,Liquid Rubber Green p/20L,0
MAINT,0,Service,,,No,No,0,0,Services,,,ENGEN JC No:,,0
MAN-001,0,Non-Stock,,,No,No,,,Purchases,Purchases,,,,0
PLAS-ABBEYLANE-5L,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Plascon DBL Velvet Deep Base  (6L2-6)
Abbeylane -5L","Plascon DBL Velvet Deep Base  (6L2-6)
Abbeylane -5L",0
PLAS-AGEAN SPLEND-20L,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Plascon Wall & All 
Agean Splendour # 40","Plascon Wall & All 
Agean Splendour # 40",0
PLAS-ANTHRACITE-5L,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Plascon Double Velvet T/B Trans -RAL7016 
Anthracite Grey -5L","Plascon Double Velvet T/B Trans -RAL7016 
Anthracite Grey -5L",0
PLAS-BLUE/B-RIPPLE-5L,0,Non-Stock,,TWA003010-0005,No,No,,,Purchases,Purchases,,"Plascon Wall & All -B7-D1-1
Blueberry Ripple -5L","Plascon Wall & All -B7-D1-1
Blueberry Ripple -5L",0
PLAS-C.COAL-5L,0,Non-Stock,,TDV003010-0005,No,No,,,Services,Purchases,,"Plascon Double Velvet T/B Trans (PB200 / PC12 / PK110)
Charcoal -5L","Plascon Double Velvet T/B Trans (PB200 / PC12 / PK110)
Charcoal -5L",0
PLAS-D.VELVET.W-20L,0,Non-Stock,,VEL000001-0020,No,No,0,0,Purchases,Purchases,,"Plascon Double Velvet 
White -20L","Plascon Double Velvet 
White -20L",0
PLAS-D.VELVET.W-5L,0,Non-Stock,,VEL000001-0005,No,No,0,0,Purchases,Purchases,,"Plascon Double Velvet 
White -5L","Plascon Double Velvet 
White -5L",0
PLAS-D.VIOLET-5L,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Plascon Sup.Univ. Enamel T/B Trans -F06
Dark Violet -5L","Plascon Sup.Univ. Enamel T/B Trans -F06
Dark Violet -5L",0
PLAS-EC.PRIMER-5L,0,Non-Stock,,SNK000010-0005,No,No,,,Purchases,Purchases,,"Plascon Edgecoate Primer 
SNK10 -5L","Plascon Edgecoate Primer 
SNK10 -5L",0
PLAS-EPI.WASH-10L,0,Non-Stock,,AW000255-5010,No,No,1482.74,1482.74,Purchases,Purchases,,"Plascon epiwash primer
Yellow-10L","Plascon epiwash primer
Yellow-10L",0
PLAS-EPL48-20L,0,Non-Stock,,EPL000048-0020,No,No,0,0,Purchases,Purchases,,"Plascon Sup. Acr. Polvin (EPL-48)
Black -20L","Plascon Sup. Acr. Polvin (EPL-48)
Black -20L",0
PLAS-EPL48-5L,0,Non-Stock,,EPL000048-0005,No,No,0,0,Purchases,Purchases,,"Plascon Sup. Acr. Polvin (EPL-48)
Black -5L","Plascon Sup. Acr. Polvin (EPL-48)
Black -5L",0
PLAS-G/PRIMER*Y-10L,0,Non-Stock,,AW00255-5010,No,No,1631.24,1631.24,Purchases,Purchases,,"Plascon Steeltect 1500 SB Galve Primer
AW00255-5010 (YELLOW) 10L PACK","Plascon Steeltect 1500 SB Galve Primer
AW00255-5010 (YELLOW) 10L PACK",0
PLAS-M.DAWN-5L,0,Non-Stock,,TDV001000-0005,No,No,,,Purchases,Purchases,,"Plascon Double Velvet  (55)
Misty Dawn -5L","Plascon Double Velvet  (55)
Misty Dawn -5L",0
PLAS-MEND.90-5KG,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Plascon Mendall-90
5Kg","Plascon Mendall-90
5Kg",0
PLAS-MICATEX.W.20L,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Plascon Micatex (BBO-300)
White-20L","Plascon Micatex (BBO-300)
White-20L",0
PLAS-MICATEX.W-5L,0,Non-Stock,,BBO000300-0005,No,No,,,Purchases,Purchases,,"Plascon Micatex (BBO300)
 White -5L","Plascon Micatex (BBO300)
 White -5L",0
PLAS-MS.GREY-5L,0,Non-Stock,,TVW003000-0005,No,No,662.23,662.23,Purchases,Purchases,,"Plascon velvaglo WB enamel
T/B-Trans-G526
Mineshaft Grey-5L","Plascon velvaglo WB enamel
T/B-Trans-G526
Mineshaft Grey-5L",0
PLAS-NUROOF-W-20L,0,Non-Stock,,,No,No,1328.47,1328.47,Purchases,Purchases,,"Plascon Nuroof 
White -20L","Plascon Nuroof 
White -20L",0
PLAS-NUROOF.WHITE-20L,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Plascon Nuroof 
White -20L","Plascon Nuroof 
White -20L",0
PLAS-P.FILLA.EXT-12KG,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Polycell Exterior Polyfilla
12Kg","Polycell Exterior Polyfilla
12Kg",0
PLAS-P.FILLA.INT-12KG,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Polycell Interior Polyfilla
12Kg","Polycell Interior Polyfilla
12Kg",0
PLAS-PL.THANE-E/BLUE-4L,0,Non-Stock,,,No,No,834.32,834.32,Purchases,Purchases,,Plascon PLASCOTHANE Polyurethane tint to -REF 160 Engen Blue,Plascon PLASCOTHANE Polyurethane tint to -REF 160 Engen Blue,0
PLAS-PL.THANE-HARDN-715ML,0,Non-Stock,,,No,No,328.7,328.7,Purchases,Purchases,,"Plascon PLASCOTHANE Hardener
PRH000009-0715","Plascon PLASCOTHANE Hardener
PRH000009-0715",0
PLAS-PL.TUFF.GREY-4L,0,Non-Stock,,PEX003500-0004,No,No,882.98,882.98,Purchases,Purchases,,"Plascon plascotuff 3500
Grey-4L","Plascon plascotuff 3500
Grey-4L",0
PLAS-PL.TUFF.HARDNER-1L,0,Non-Stock,,PEH003500-0001,No,No,237.4,237.4,Purchases,Purchases,,"Plascon plascotuff 3500
Hardner-1L","Plascon plascotuff 3500
Hardner-1L",0
PLAS-P.PRIMER.W-20L,0,Non-Stock,,PP00700-0020,No,No,,,Purchases,Purchases,,"Plascon Prof. Gypsum & Plaster Primer (PP700)
White -20L","Plascon Prof. Gypsum & Plaster Primer (PP700)
White -20L",0
PLAS-P.PRIMER.W-5L,0,Non-Stock,,PP000700-0005,No,No,,,Purchases,Purchases,,"Plascon Prof. Gypsum & Plaster Primer (PP700)
White -5L","Plascon Prof. Gypsum & Plaster Primer (PP700)
White -5L",0
PLAS-PU.PRIMER.W-5L,0,Non-Stock,,PU000800-0005,No,No,375.96,375.96,Purchases,Purchases,,"Plascon Prof.General Purpose Undercoat
White -5L","Plascon Prof.General Purpose Undercoat
White -5L",0
PLAS-PW.PRIMER-5L,0,Non-Stock,,UC000002-0005,No,No,608.59,608.59,Purchases,Purchases,,"Plascon wood primer
Pink-5L","Plascon wood primer
Pink-5L",0
PLAS-PW.PRIMER-UC2-5L,0,Non-Stock,,UC2,No,No,,,Purchases,Purchases,,"Plascon Wood Primer 
Pink-5L","Plascon Wood Primer 
Pink-5L",0
PLAS-REF160,0,Non-Stock,,,No,No,1241.85,1241.85,Purchases,Purchases,,Plascon REF-160 Prof. Emulsion Acr. (Engen Blue) 5L,Plascon REF-160 Prof. Emulsion Acr. (Engen Blue) 5L,0
PLAS-S.GREY-5L,0,Non-Stock,,TCA3000-0005,No,No,,,Purchases,Purchases,,"Plascon Cashmere (RAL-700) 
Signal Grey -5L","Plascon Cashmere (RAL-700) 
Signal Grey -5L",0
PLAS-U.COAT.W-5L,0,Non-Stock,,UC000001-0005,No,No,432.08,432.08,Purchases,Purchases,,"Plascon universal undercoat
White-5L","Plascon universal undercoat
White-5L",0
PLAS-UN.U/COAT-5L,0,Non-Stock,,UC000001-0005,No,No,,,Purchases,Purchases,,"Plascon Universal Undercoat 
White 5L","Plascon Universal Undercoat 
White 5L",0
PLAS-V.SEA-5L,0,Non-Stock,,TCA 3000-00005,No,No,759.73,759.73,Purchases,Purchases,,"Plascon Cashmere (D33-7)
Vista Sea -5L","Plascon Cashmere (D33-7)
Vista Sea -5L",0
PLAS-W.ALL.W-20L,0,Non-Stock,,WAA000001-0020,No,No,1757.63,1757.63,Purchases,Purchases,,"Plascon wall & all 
White-20L","Plascon wall & all 
White-20L",0
PLAS-W.ALL.W-5L,0,Non-Stock,,WAA000001-0005,No,No,,,Purchases,Purchases,,"Plascon wall & all 
White-5L","Plascon wall & all 
White-5L",0
PLAS-WP-COMPUND-W-20L,0,Non-Stock,,PWC520-20L,No,No,1746.92,1746.92,Purchases,Purchases,,"Plascon Waterproofing Compound 
White -20L","Plascon Waterproofing Compound 
White -20L",0
PLAS-W.PROOF.C-20L,0,Non-Stock,,PWC520,No,No,1746.92,1746.92,Purchases,Purchases,,"Plascon Waterproofing Compound 
White -20L","Plascon Waterproofing Compound 
White -20L",0
PLAS-WSP.11-5L,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Plascon Sunproof Varnish Ext. Suede
Clear -5L","Plascon Sunproof Varnish Ext. Suede
Clear -5L",0
QS4451-203mm,0,Service,,,No,No,0,0,Services,Purchases,,Flushbolt,,0
QUOTE-APPR-001,0,Non-Stock,,,No,No,,,Purchases,Purchases,,We hereby approve quotation Ref No:,We hereby approve quotation Ref No:,0
S.CRAFT-001,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Engen : Signage
COMBINATION -Blue
Blue","Engen : Signage
COMBINATION -Blue
Blue",0
S.CRAFT-002,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Engen : Signage
MALE PUBLIC BATHROOM 
Blue","Engen : Signage
MALE PUBLIC BATHROOM 
Blue",0
S.CRAFT-003,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Engen : Signage
FEMALE PUBLIC BATHROOM 
Blue","Engen : Signage
FEMALE PUBLIC BATHROOM 
Blue",0
Services,0,Service,,,No,No,,,Services,,,,,0
SIGN-001,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Signage
MALE","Aluminium Signage
MALE",0
SIGN-002,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Signage 
FEMALE","Aluminium Signage 
FEMALE",0
SIGN-003,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Signage
PARAPLEGIC","Aluminium Signage
PARAPLEGIC",0
SIGN-004,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Signage
STAFF CHANGEROOM","Aluminium Signage
STAFF CHANGEROOM",0
SILICONE-ACR/WHITE,0,Non-Stock,,26.08.24,No,No,48,48,Purchases,Purchases,,White Acrylic Silicone 310ml,White Acrylic Silicone 310ml,0
SILICONE-BL.ACET-280ML,0,Non-Stock,,,No,No,52,52,Purchases,Purchases,,"Silicone 280ml
Black Acetate","Silicone 280ml
Black Acetate",0
SILICONE-CL.ACET-280ML,0,Non-Stock,,,No,No,52,52,Services,Purchases,,"Silicone 280ml
Clear Acetate","Silicone 280ml
Clear Acetate",0
SILICONE-GR.ACET-280ML,0,Non-Stock,,,No,No,52,52,Purchases,Purchases,,"Silicone 280ml
Grey Acetate","Silicone 280ml
Grey Acetate",0
SILICONE-W.ACET-280ML,0,Non-Stock,,,No,No,52,52,Purchases,Purchases,,"Silicone 280ml
White Acetate","Silicone 280ml
White Acetate",0
SILICONE-W.ACRY-310ML,0,Non-Stock,,,No,No,48,48,Purchases,Purchases,,"Silicone 310ml
White Acrylic","Silicone 310ml
White Acrylic",0
SINK-DBL/BOWL,0,Non-Stock,,,No,No,,7650,Services,Purchases,,"Double bowl S/S prep sink 1.350 x 650 x 915mm
(500 x 500 x 250)","Double bowl S/S prep sink 1.350 x 650 x 915mm
(500 x 500 x 250)",0
SINK-TRIP/BOWL,0,Non-Stock,,,No,No,,,Services,Purchases,,"S/S Trippel bowl pot sink
1.800 x 600mm","S/S Trippel bowl pot sink
1.800 x 600mm",0
SINK-VEG,0,Non-Stock,,,No,No,,,Services,Purchases,,"S/S Single bowl veg prep sink
760mm","S/S Single bowl veg prep sink
760mm",0
SKIPS-2M³/PLACE,0,Non-Stock,,,No,No,,,Services,Services,,2m³ -Placement of skip,2m³ -Placement of skip,0
