Product/Service Name,Quantity on hand,Item type,Category,SKU,Purchase cost includes tax,Sales price/rate includes tax,Price,Cost,Income Account,Expense Account,Stock asset account,Sales Description,Purchase Description,Reorder Point
TILES-TA-021,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Kilimanjaro Khalagadi Cotta Slip resistant Porcelain floor tile
350 x 350","Kilimanjaro Khalagadi Cotta Slip resistant Porcelain floor tile
350 x 350",0
TILES-TA-022,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Kilimanjaro Khalagadi Cotta Slip resistant Porcelain floor tile
350 x 350","Kilimanjaro Khalagadi Cotta Slip resistant Porcelain floor tile
350 x 350",0
TILES-TA-023,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Manuri Grafiti matt Porcelain floor tile
600 x 600","Manuri Grafiti matt Porcelain floor tile
600 x 600",0
TILES-TA-024,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Matrix light grey matt Porcelain tile (BTN3405)
300 x 600","Matrix light grey matt Porcelain tile (BTN3405)
300 x 600",0
TILES-TA-025,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,Patchwork Europa mosaic tile,Patchwork Europa mosaic tile,0
TILES-TA-026,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,Sterling light grey Porcelain mosaic tile,Sterling light grey Porcelain mosaic tile,0
TILES-TA-027,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,KER-515 Graphite polished Porcelain wall tile,KER-515 Graphite polished Porcelain wall tile,0
TILES-TA-028,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,Mas Galia Wengue matt Porcelain floor tile,Mas Galia Wengue matt Porcelain floor tile,0
TILES-TA-029,0,Non-Stock,,T0034687,No,No,0,0,Purchases,Purchases,,"Metro White Shiny beveled ceramic wall tile
200 x 100
p/m²","Metro White Shiny beveled ceramic wall tile
200 x 100
p/m²",0
TILES-TA-030,0,Non-Stock,,T0027947,No,No,159.38,159.38,Purchases,Purchases,,"Echo Grey Gres Porcelain floor tile 
600 x 600
p/m²","Echo Grey Gres Porcelain floor tile 
600 x 600
p/m²",0
TILES-TA-031,0,Non-Stock,,T0033070,No,No,285,285,Purchases,Purchases,,"Brick tile -Redwood
220 x 70","Brick tile -Redwood
220 x 70",0
TILES-TH-001,0,Non-Stock,,10464,No,No,650,650,Purchases,Purchases,,"Terre Cotto Irregolo tiles
600 x 1200mm
(1.44sqm/box)","Terre Cotto Irregolo tiles
600 x 1200mm
(1.44sqm/box)",0
TILES-TH-002,0,Non-Stock,,10487,No,No,250,250,Cost of sales,Purchases,,"Metro White Matt Beveled tile
100 x 300 (pm²)","Metro White Matt Beveled tile
100 x 300 (pm²)",0
TILES-TH-003,0,Non-Stock,,10454,No,No,365,365,Services,Purchases,,"Technic Arkansas
300 x 300
(1.17sqm/box)","Technic Arkansas
300 x 300
(1.17sqm/box)",0
TILES-TH-004,0,Non-Stock,,10227,No,No,385,385,Purchases,Purchases,,"Technic Nero
300 x 300
(1.17sqm/box)","Technic Nero
300 x 300
(1.17sqm/box)",0
TILES-TH-005,0,Non-Stock,,GS-CR112,No,No,150,150,Purchases,Purchases,,"Kitkat Black Matt
293 X 297","Kitkat Black Matt
293 X 297",0
TILES-TH-006,0,Non-Stock,,11321,No,No,299,299,Purchases,Purchases,,"Thar Gris Textured
300 x 300
(0.99m/ctn)","Thar Gris Textured
300 x 300
(0.99m/ctn)",0
TILES-TH-007,0,Non-Stock,,,No,No,655,655,Purchases,Purchases,,"Terrazzo tech grigio 
600x600mm","Terrazzo tech grigio 
600x600mm",0
TILES-UT-001,0,Non-Stock,,1GRABOS300,No,No,397.39,397.39,Purchases,Purchases,,"Granito Gres Evo Boston 
300 x 300 (1.26m² p/bpx)","Granito Gres Evo Boston 
300 x 300 (1.26m² p/bpx)",0
TRIM-10MM-001,0,Non-Stock,,,No,No,,,Purchases,Purchases,,10mm Stainless Steel (Genesis) square edge trim,10mm Stainless Steel (Genesis) square edge trim,0
TRIM-10MM-002,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Straight edge trim
(10mm)","Aluminium Straight edge trim
(10mm)",0
TRIM-10MM-003,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Square edge trim
(10mm)","Aluminium Square edge trim
(10mm)",0
TRIM-50MM-001,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Stainless Steel Corner Protector 
T0019027 Stainless Steel Corner Protector Natural 50x50mmx2.5m B1 SCP500.N",T0019027 Stainless Steel Corner Protector Natural 50x50mmx2.5m B1 SCP500.N,0
TRIM-8MM-001,0,Non-Stock,,,No,No,40,,Purchases,Purchases,,8mm Aluminium straight edge trim,8mm Aluminium straight edge trim,0
VERS-BLUE FOR YOU,0,Non-Stock,,,No,No,,2234,Services,Purchases,,"Versus -Blue for you
Deep Base
B3-A1-3
Status Satin
20L","Versus -Blue for you
Deep Base
B3-A1-3
Status Satin
20L",0
VERS -CAPTIVATE,0,Non-Stock,,,No,No,,1711,Services,Purchases,,"Versus -Captivate
Pastel Base
B2-A2-3
Statis Satin
20L","Versus -Captivate
Pastel Base
B2-A2-3
Statis Satin
20L",0
VERS-DE LOVELY,0,Non-Stock,,,No,No,,2234,Services,Purchases,,"Versus -De Lovely 
Deep Base 
G1-A1-4
Status Satin
20L","Versus -De Lovely 
Deep Base 
G1-A1-4
Status Satin
20L",0
VERS-SNOWSHY,0,Non-Stock,,,No,No,,1711,Services,Purchases,,"Versus -Snowshy
Pastel Base
B3-A2-2
Status Satin
20L","Versus -Snowshy
Pastel Base
B3-A2-2
Status Satin
20L",0
WOODC-JARRAH-501124,0,Non-Stock,,,No,No,1648.2,1648.2,Cost of sales,Purchases,,Veneer MDF Jarrah S/F 2.750 x 1.830 x 16mm,Veneer MDF Jarrah S/F 2.750 x 1.830 x 16mm,0
WOODC-MDF-16,0,Non-Stock,,,No,No,719.25,719.25,Cost of sales,Purchases,,MDF Plain 2.750 x 1.830 x 16mm,MDF Plain 2.750 x 1.830 x 16mm,0
WOODN-CAFE365-001,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Café 365 Bakery 
Quote No:",,0
